online,FACEIT Saturday Spring Cup #2,2013-03-23,1092
other,Go4CS:GO Monthly Finals July 2013,2013-08-29,1183
online,Svecup Norrköping Qualifier #2,2013-03-24,1093
other,TECHLABS Cup Kiev 2013,2013-08-31,1184
online,Mikz Challenge,2014-05-19,1365
online,ESL Pro Series France XI Finals,2013-12-15,1274
intl-lan,ESWC 2012,2012-11-04,1003
other,ESL UK Community Challenge S1 Cup #3,2014-05-21,1366
other,MFJV 2013,2013-09-01,1185
online,SLTV ProSeries VIII,2013-12-15,1275
other,Copenhagen Games 2013,2013-03-31,1094
other,Gaming.dk SteelSeries Championship Invite Finals 2013,2013-12-14,1276
other,DreamHack Summer 2014 pre-qualifier #1,2014-05-22,1367
other,Copenhagen Games 2013 female,2013-03-30,1095
other,Eizo Challenge 2012,2012-10-27,1005
online,GO4Balkan Charity Tournament,2014-05-24,1368
other,Svecup Grand Finals 2013,2013-12-14,1277
other,Go4CS:GO Cup #59,2013-09-02,1187
other,Copenhagen Games 2013 Qualifier,2013-03-29,1096
online,European Championship 2013 Qualification Round 1,2013-09-13,1188
other,Svecup Norrköping,2013-04-03,1097
other,Gaming Challenge 2014,2014-05-26,1369
other,ESWC 2012 France,2012-11-01,1007
other,SLTV StarSeries VIII Finals,2013-12-22,1279
other,SLTV StarSeries V Finals,2013-04-07,1098
online,RaidCall EMS One Fall 2013 Cup #1,2013-09-05,1189
other,DreamHack Summer 2014 pre-qualifier #3,2014-05-25,1370
online,FACEIT December Championship 2013,2013-12-20,1280
other,ESWC 2012 female,2012-11-04,1008
other,Mad Catz Birmingham,2013-04-07,1099
other,Gaming.dk League by SteelSeries Season 7,2013-09-03,1190
other,DreamHack Summer 2014 pre-qualifier #2,2014-05-26,1371
other,EuroGamersOnline Ozone Challenge,2013-12-24,1281
other,NLAN 2013,2013-04-04,1100
other,ESL Pro Series Poland Season 8 Qualifier #1,2014-05-26,1372
online,ESL Major Series Winter Season 2012,2013-01-24,1009
online,Komplett.dk League Season 1,2013-05-29,1101
other,DreamHack Bucharest 2013,2013-09-15,1192
other,DreamHack Summer 2014,2014-06-17,1373
