Type,Name,Date,ID
other,TECHLABS Cup Minsk 2013 CIS Qualifier,9/22/13,1206
other,GDK SteelSeries GO #1,9/17/12,968
other,IEM Poland Qualifier #2,12/17/12,1036
online,ESL Pro Series France XI Finals,12/15/13,1274
online,DreamHack Summer 2014 Closed Qualifier,5/30/14,1376
other,ESPORTSM 2013/2014 - Qualifier #6 Stockholm,5/3/14,1359
other,Assembly Winter 2014,2/1/14,1291
online,RaidCall EMS One Spring 2013 Group Stage,4/3/13,1087
other,ESWC 2012 France Pre-Qual. #3,10/3/12,985
other,ESWC 2014 North America,7/18/14,1427
other,ESL A-Series Summer 2013,5/19/13,1104
other,EMS One Katowice UK National Finals,2/12/14,1308
online,THOR Open Qualifier #6,11/20/12,1019
other,Telkom Do Gaming League Winter 2014,7/6/14,1410
other,Gaming.dk League by SteelSeries Season 8 Finals,4/12/14,1342
other,Svecup Vsters,5/26/13,1138
other,RaidCall EMS One Summer 2013 Finals,6/30/13,1155
online,FACEIT Cup September 2013,10/16/13,1240
other,Fragbite Masters 2014 Qualifier #2,3/5/14,1325
online,RaidCall EMS One Fall 2013 Cup #1,9/5/13,1189
other,G3 Qualifier #1,6/23/14,1393
other,Areena #3 by SteelSeries,8/10/13,1172
online,RaidCall EMS One Spring 2013 Cup #2,2/21/13,1070
other,MSI Beat it! 2013 Chinese Finals,10/6/13,1223
online,SLTV StarSeries VIII,12/10/13,1257
other,ESWC 2013 NA Qualifier,9/23/13,1207
other,Gaming.dk League by SteelSeries Season 6 Finals,5/10/13,1122
intl-lan,ESWC 2012,11/4/12,1003
online,SLTV ProSeries VIII,12/15/13,1275
other,ESEA Invite Season 13 North America,2/25/13,1037
other,BirdieLAN 24,5/30/14,1377
other,EMS One Katowice CIS Qualifier Cup #2,1/23/14,1292
other,SoCal Revival #2,5/5/14,1360
other,ESEA Invite Season 17 Europe,10/6/14,1428
other,TECHLABS Cup 2013,3/23/13,1088
other,ESL Pro Series Poland Season 8 Finals,7/6/14,1411
other,TNC CM Storm #1 Finals,11/18/12,1020
other,ESEA Invite Season 13 Global Finals,4/21/13,1105
other,Voronezh Cup 2014,4/13/14,1343
other,ESL Pro Series Germany Summer 2014 Cup #2,6/23/14,1394
online,SLTV StarSeries VII Qualifier,8/11/13,1173
other,Gaming.dk League by SteelSeries Season 7,9/3/13,1190
other,DreamHack Summer 2013 Danish Qual.,5/26/13,1139
other,Do Gaming League Championship 2013,10/5/13,1224
online,ESWC 2012 German Qualifier,10/16/12,986
other,Belgrade Gaming Festival 2013,11/10/13,1258
other,EMS One Katowice Polish National Finals,2/12/14,1309
other,ESL Pro Series Germany Summer Season 2013,9/7/13,1156
other,ESPC CS:GO #1,2/9/13,1055
other,ESWC 2012 France Pre-Qual. #1,9/20/12,970
other,Insomnia XIV,10/27/12,1004
online,IEM Poland International Qualifier,12/19/12,1038
other,ESL UK Community Challenge S1 Cup #1,5/7/14,1361
other,The Blast 2013,5/12/13,1123
other,ESPORTSM 2013/2014 - Qualifier #8 Gothenburg,5/31/14,1378
other,Gaming.dk SteelSeries Championship Invite Finals 2013,12/14/13,1276
online,Gfinity Alienware Pro League Season 1,4/22/14,1327
online,Caseking of the Hill #2,7/23/14,1429
local-lan,CyberGamer Premier League Season 1,3/24/13,1089
other,GameGune 2014,7/6/14,1412
other,Assembly Winter 2013,2/23/13,1072
intl-lan,DreamHack Winter 2012,11/24/12,1021
other,coL 10th Anniversary,11/12/13,1259
other,Vox Play #1,4/13/14,1344
other,ESEA Invite Season 14 Global Finals,8/18/13,1174
other,Epsilan 11,10/5/13,1225
other,East Asian Championship 2013,9/8/13,1191
online,Fnatic FragOut League Season 3,4/2/14,1310
other,ESEA Invite Season 15 North America,12/16/13,1242
other,FMR LAN Cup #8,6/23/13,1157
other,Go4CS:GO Cup #7,9/18/12,971
online,RaidCall EMS One Fall 2013 Cup #4,9/25/13,1209
other,Eizo Challenge 2012,10/27/12,1005
online,Hitbox Arena Championship,6/4/14,1362
other,Svecup Vsters Qualifier #2,5/11/13,1124
online,ESL Pro Series Poland Season 8,7/3/14,1379
other,Svecup Grand Finals 2013,12/14/13,1277
online,GSL Egamingbets Cup,3/9/14,1328
online,SLTV StarSeries V,3/24/13,1056
other,ESEA Invite Season 13 All-Star,4/20/13,1107
other,ESL Pro Series Germany Summer 2014 Cup #4,7/7/14,1413
other,ESL One Cologne 2014 Open pre-qualifier,7/24/14,1430
other,Swedish Championship 2012 LAN qual #2,11/22/12,1022
online,ESWC 2012 UK Qualifier,10/12/12,988
other,Telkom Do Gaming Insta-Clash Cup November 2013,11/17/13,1260
other,ESWC 2013 Ukraine,10/6/13,1226
other,EMS One Katowice German National Finals,2/16/14,1311
other,DreamHack Bucharest 2013,9/15/13,1192
other,ESL Pro Series Spain XI,1/22/14,1158
online,ESL Pro Series France XI Cup #4,10/18/13,1243
other,Insomnia 48,3/24/13,1090
online,SLTV StarSeries X,8/12/14,1396
other,EMS One Katowice Polish Qualifier Cup #2,1/23/14,1293
other,Copenhagen Games 2014,4/19/14,1345
other,ESEA Invite Season 14 Europe,7/18/13,1141
online,SLTV StarSeries VII,10/4/13,1175
other,ESPORTSM 2013/2014 - Qualifier #7,5/12/14,1363
other,Gaming.dk League by SteelSeries Season 5 Finals,2/15/13,1057
other,Showmatch CS:GO,5/19/17,1040
other,Gaming.dk League by SteelSeries Season 8,4/1/14,1329
other,Assembly Summer 2014 qualifier #1,7/8/14,1414
other,DreamHack Winter 2012 BYOC,11/23/12,1023
other,ESL UK Community Challenge S2 Cup #1,7/22/14,1431
online,FACEIT Cup October 2013,11/14/13,1261
other,Go4CS:GO Cup #60,9/8/13,1193
other,Go4CS:GO Cup #66,10/20/13,1244
other,Go4CS:GO Cup #64,10/6/13,1227
other,EMS One Katowice CIS Regional Finals,2/16/14,1312
online,SLTV StarSeries VI,6/25/13,1125
other,ESEA Invite Season 16 All-Star,6/28/14,1397
other,Gaming.dk League by SteelSeries Season 6,5/2/13,1108
online,SLTV ProSeries V,3/25/13,1091
other,FACEIT January Championship 2014,1/24/14,1294
other,ESEA Invite Season 16 North America,5/13/14,1346
online,RaidCall EMS One Summer 2013 Cup #3,5/29/13,1142
other,MSI Beat it! 2013 EU Open Qualifier #1,8/21/13,1176
other,TECHLABS Cup BY 2013,9/28/13,1211
intl-lan,DreamHack Valencia 2012,9/23/12,973
other,ESL UK Community Challenge S1 Cup #5,6/4/14,1381
other,ESWC 2012 France,11/1/12,1007
other,SLTV StarSeries VIII Finals,12/22/13,1279
online,RaidCall EMS One Spring 2013 Cup #3,3/1/13,1075
online,RaidCall EMS One Spring 2013 Cup #1,2/14/13,1058
other,ESL UK Community Challenge S1 Cup #2,5/14/14,1364
online,THOR Open Qualifier #7,12/3/12,1024
other,Fragbite Masters 2014 Qualifier #3,3/7/14,1330
online,Gaming.dk League by SteelSeries Season 5,2/12/13,1041
online,ESL Pro Series Poland Season 5,12/2/12,990
other,Go4CS:GO Cup #43,5/12/13,1126
other,ESL One Cologne 2014 Oceanic qualifier,7/20/14,1415
other,Fragbite Masters Qualifier #3,11/14/13,1262
other,RaidCall EMS One Fall 2013 Finals,10/27/13,1245
online,ESL One Cologne 2014 European Finals,7/28/14,1432
other,SLTV ProSeries VI,7/3/13,1160
other,MSI Beat it! 2013 Middle East Qualifier,10/7/13,1228
other,SteelSeries CS:GO Calling,2/16/14,1313
other,F3 Academy League,6/28/14,1398
