Team 1 Player 1,Team 1 Player 2,Team 1 Player 3,Team 1 Plater 4,Team 1 Player 5,Team 2 Player 1,Team 2 Player 2,Team 2 Player 3,Team 2 Plater 4,Team 2 Player 5,Match ID
7160,11475,12523,7700,7296,10590,10589,8612,8724,7798,2305824/fm-esports-vs-quantum-bellator-wca-world-contest-championship
10247,11539,11543,10244,10248,12430,12429,12427,12428,12431,2306198/yetti-vs-ulti-fpsgod-super-league-winter
11655,11386,11385,11656,11448,8765,11140,11139,11485,9108,2306511/taiwan-z-vs-chiefs-rog-masters-asia-2016
12751,12753,12750,12749,12747,12265,12266,12744,12268,12267,2306233/tinplate-vs-bunkergg-starladder-regional-minor-championship-cis-eleague-major-2017-open-qualifier
5440,9011,8733,13571,12850,12415,11998,751,1278,10693,2309360/sensei-vs-above-the-rest-streamme-gauntlet-cis-vs-eu-3
13754,13755,12922,7657,12920,8962,11079,1603,7652,8964,2309733/crowns-fe-vs-zest-copenhagen-games-2017-female
11303,11697,8578,11306,11109,9766,9298,10784,12840,10655,2309366/rogue-academy-vs-tzatzikiklubben-yoggi-yalla-cup-2017-qualifier-2
9445,11842,10052,7983,9443,1154,7942,1200,8255,3410,2310223/tengri-vs-k29-esl-one-cologne-2017-europe-qualifier-2
13684,11969,13682,13683,9302,8513,9065,13900,13391,7854,2309899/h00liganz-vs-synthetik-esea-main-season-24-north-america
12064,12062,12715,11138,12939,9681,9677,9679,9680,12594,2306916/aura-vs-cypher-cybergamer-pro-league-season-9
8822,9872,13560,9028,13747,10444,14148,9904,10951,14149,2310658/kon-norway-vs-kon-denmark-king-of-nordic-season-7
12781,5797,11885,2148,7217,11913,8830,8831,2395,3769,2307491/berzerk-vs-tricked-academy-iem-katowice-2017-eu-open-qualifier-1
9288,9289,11248,12129,10664,9105,9118,10587,10588,11521,2306562/signature-vs-athletico-wesg-2016-asia-pacific-regional-finals
7028,8605,5187,7026,8552,11141,8770,9636,9686,8746,2307083/tyloo-vs-immunity-wca-2016-finals
7865,9203,7861,7864,7863,9196,12339,12336,11532,11531,2309867/jaguar-vs-stormborns-esea-open-season-24-latin-america
6451,10394,1915,8517,9258,9219,8565,8566,7382,8568,2307038/tsm-vs-immortals-americas-minor-eleague-major-2017
6725,8950,8949,8947,6727,11351,10877,11350,10178,177,2304832/mvpkarnal-vs-new4-mr-cat-masters-asian
12554,12556,11551,12555,10839,12521,11337,10581,11733,10832,2309180/keyd-stars-vs-idm-liga-pro-alienware-gamersclub-2
11162,9102,9110,9638,9637,11485,11140,9108,11139,10163,2309278/avant-garde-vs-chiefs-acer-cybergamer-premier-league-autumn-2017-finals
174,662,175,4637,205,9521,9736,9243,9247,10870,2308548/mvp-pk-vs-themongolz-zen-esports-network-league-season-1
9278,44,9255,646,9257,7834,2799,1883,5287,7964,2308046/epsilon-vs-rogue-ecs-season-3-eu-development-league-open-qualifier-1
11219,11217,10762,11216,10694,8012,13499,13498,2148,8011,2308988/outlaws-vs-legends-legend-series-1
11462,13476,13475,13547,11463,9339,9169,8944,9170,8943,2308831/fire-dragoon-vs-boot-ds-beyondgodlike-csgo-sea-pro-league
8744,9115,2007,8764,8767,11139,9683,11485,8765,11493,2306805/winterfox-vs-chiefs-dreamhack-masters-las-vegas-2017-oceania-qualifier
7808,7810,7935,1916,9042,8911,12104,9195,8752,11181,2305123/echo-fox-vs-muffin-lightning-wesg-2016-united-states
8787,11515,9349,1866,8526,1088,1083,7973,9228,11498,2307884/spraynpray-vs-rush3d-binary-dragons-cup-3
9418,4373,10554,10004,10006,13138,13509,13506,13507,13508,2310400/g2v-vs-oserv-cevo-main-season-12-europe
8526,11515,9348,11250,9350,8459,9008,7943,8293,8294,2310261/acg-vs-quantum-bellator-fire-betscsgo-cup-1
8918,7403,7796,338,472,8788,8789,7716,8786,8790,2309308/flipsid3-vs-vega-squadron-dreamhack-open-tours-2017-europe-closed-qualifier
8552,5187,7028,7026,8605,11355,12957,10187,2292,11576,2307015/tyloo-vs-5power-dreamhack-masters-las-vegas-2017-asia-closed-qualifier
317,161,2553,165,5386,9172,9906,9336,11540,9174,2309260/virtuspro-vs-mvp-project-sl-i-league-starseries-season-3-finals
9016,7612,12524,10630,10631,9008,8293,8294,7943,5469,2305822/caz-vs-quantum-bellator-fire-wca-world-contest-championship
11217,11216,10762,11219,10694,7775,7248,7821,8576,7529,2307662/outlaws-vs-igamecom-assembly-winter-2017
7671,7650,7666,7645,1510,8962,1603,8964,11079,7652,2309728/doyoueven-fe-vs-zest-copenhagen-games-2017-female
9170,616,9171,11460,2003,11386,11385,11656,11655,11448,2306507/leapfrog-vs-taiwan-z-rog-masters-asia-2016
7973,11133,1159,9022,13160,8526,11250,9348,9350,11515,2309359/overdrive-vs-acg-streamme-gauntlet-cis-vs-eu-3
12740,12738,12739,12736,12737,11515,11318,12741,11650,11317,2306232/hom9k-vs-gameplaydna-starladder-regional-minor-championship-cis-eleague-major-2017-open-qualifier
11539,10248,11543,10247,10244,2425,12501,9287,10663,9601,2306155/yetti-vs-mith-fpsgod-super-league-winter
9103,11975,9102,9101,9104,9095,8775,12065,9119,8762,2306961/trident-vs-dark-sided-cybergamer-pro-league-season-9
8242,7368,8320,9477,8324,10569,269,7813,9656,9616,2307493/pride-vs-vexed-iem-katowice-2017-eu-open-qualifier-1
14148,10610,14149,9904,10951,14151,13399,14150,14152,13396,2310656/kon-denmark-vs-kon-finland-king-of-nordic-season-7
11189,10198,12684,12683,10197,9174,9906,9336,9175,9172,2305910/bulldozer-vs-mvp-project-wesg-2016-korea
7982,8302,7166,823,8184,12048,10096,7830,12802,7588,2310187/ldlc-vs-ambush-esl-one-cologne-2017-europe-qualifier-2
9056,8745,10671,6451,8137,14109,11445,14022,13307,9852,2310791/clg-vs-bushido-boyz-americas-minor-north-america-closed-qualifier-pgl-major-krakow-2017
334,964,8728,8528,10051,8950,11143,6727,8949,8947,2306560/k23-vs-fire-dragoon-wesg-2016-asia-pacific-regional-finals
8576,7248,7529,1378,7821,12826,12824,12827,12825,12828,2307098/igamecom-vs-innova-wca-2016-finals
13185,13188,13186,13189,13187,2199,8504,7433,8503,9882,2309868/thegosucrew-vs-mythic-esea-main-season-24-north-america
11219,11216,10694,11217,10762,9666,7723,10456,10458,3143,2308979/outlaws-vs-esuba-legend-series-1
9304,10663,9287,9601,2425,10190,10168,10167,10169,2284,2304812/mith-vs-born-of-fire-mr-cat-masters-asian
8802,850,848,12879,4066,10578,11262,10573,10572,10574,2306802/seven-vs-veca-tuddinn-winter-2016-lan-finals
13093,11555,330,7186,13094,11902,11904,11903,10398,13400,2310397/giants-vs-rctic-cevo-main-season-12-europe
10502,2161,10508,2157,11595,10840,10570,10557,10566,9482,2309181/isurus-vs-pain-liga-pro-alienware-gamersclub-2
11139,9683,11485,8765,11493,9105,10588,9109,10587,10586,2306803/chiefs-vs-athletico-dreamhack-masters-las-vegas-2017-oceania-qualifier
11250,11515,9348,9350,8526,8727,11840,7405,8368,499,2309911/acg-vs-epg-betscsgo-cup-1
4136,11143,12514,9578,8949,8953,9387,8952,10263,8951,2308832/jyp-vs-recca-beyondgodlike-csgo-sea-pro-league
9686,9636,8746,8770,11141,9108,11139,11140,11485,10163,2309277/immunity-vs-chiefs-acer-cybergamer-premier-league-autumn-2017-finals
12524,7612,9016,10631,10630,9008,8294,5469,7943,8293,2305821/caz-vs-quantum-bellator-fire-wca-world-contest-championship
10588,9109,10587,10586,9115,9108,11485,11139,11140,8765,2308547/tainted-minds-vs-chiefs-zen-esports-network-league-season-1
8460,9410,8459,11307,9411,8124,9083,9081,1950,8125,2308042/playing-ducks-vs-spirit-ecs-season-3-eu-development-league-open-qualifier-1
9102,11162,9110,9637,9105,8766,9120,9117,13058,8776,2310963/avant-garde-vs-legacy-esl-australia-nz-championship-season-3-finals
4144,12968,11447,4125,10593,11248,9288,9289,12129,10664,2307014/risky-vs-signature-dreamhack-masters-las-vegas-2017-asia-closed-qualifier
13543,13545,13544,13542,13541,12920,13754,7657,12922,13755,2309729/maestro-fe-vs-crowns-fe-copenhagen-games-2017-female
7440,8797,8735,203,8349,8752,8911,9195,11181,12104,2307037/cloud9-vs-muffin-lightning-americas-minor-eleague-major-2017
9382,11129,11250,7490,10604,3543,2299,2476,4216,3972,2307882/vexilla-vs-ination-binary-dragons-cup-3
10594,4144,1055,4125,10593,11576,2292,10187,11574,10880,2306510/risky-vs-5power-rog-masters-asia-2016
12244,12243,10342,12245,12731,12732,12735,12733,8214,12734,2306231/vengeance-vs-elquvet-starladder-regional-minor-championship-cis-eleague-major-2017-open-qualifier
11219,10762,8917,10761,11217,9294,9295,5061,8784,9030,2309358/outlaws-vs-efuture-streamme-gauntlet-cis-vs-eu-3
8095,2469,9078,9032,7156,8565,8566,8568,7382,557,2309259/north-vs-immortals-sl-i-league-starseries-season-3-finals
7319,11310,7232,7508,12782,7388,322,329,356,4360,2307663/planetkey-vs-x6tence-assembly-winter-2017
10771,11433,10770,9464,10772,12537,8954,8093,8092,9531,2306156/mineski-vs-threats-fpsgod-super-league-winter
9872,9028,8822,13747,13560,13456,13458,13459,13457,13031,2310657/kon-norway-vs-kon-iceland-king-of-nordic-season-7
11373,11188,10059,10063,11372,174,205,662,4637,175,2305909/m0nster-vs-mvp-pk-wesg-2016-korea
9896,8611,8150,8783,7415,9960,8488,9961,9358,7749,2307490/tricked-vs-extatus-iem-katowice-2017-eu-open-qualifier-1
9102,9104,9103,11975,9101,9097,9638,11162,9637,11521,2306855/trident-vs-parallax-cybergamer-pro-league-season-9
9043,7873,8350,8708,9019,12271,12710,13273,11064,9845,2310795/complexity-vs-eclipse-americas-minor-north-america-closed-qualifier-pgl-major-krakow-2017
