Date,Map,Team 1 ID,Team 1 Start Side,Team 1 Score,Team 1 Half 1 Score,Team 1 Half 2 Score,Team 1 Overtime Score,Team 2 ID,Team 2 Start Side,Team 2 Score,Team 2 Half 1 Score,Team 2 Half 2 Score,Team 2 Overtime Score,Match ID
4/18/15,Cache,4991,CT,16,12,4,0,6098,T,5,3,2,0,2295302/fnatic-vs-nihilum-esea-invite-season-18-global-finals
4/18/15,Inferno,4991,CT,16,10,6,0,6098,T,10,5,5,0,2295302/fnatic-vs-nihilum-esea-invite-season-18-global-finals
9/19/14,Mirage,4494,T,2,2,0,0,4548,CT,16,13,3,0,2292775/cph-wolves-vs-mousesports-hitbox-arena-championship-3
4/18/15,Dust2,5974,CT,12,5,7,0,4494,T,16,10,6,0,2295307/clg-vs-mousesports-esea-invite-season-18-global-finals
4/18/15,Mirage,5974,CT,9,2,7,0,4494,T,16,13,3,0,2295307/clg-vs-mousesports-esea-invite-season-18-global-finals
9/19/14,Cache,4991,T,16,10,6,0,4456,CT,8,5,3,0,2292776/fnatic-vs-epsilon-hitbox-arena-championship-3
9/19/14,Dust2,4991,T,16,11,5,0,4456,CT,4,4,0,0,2292776/fnatic-vs-epsilon-hitbox-arena-championship-3
7/10/15,Mirage,4411,T,16,11,5,0,6195,CT,4,4,0,0,2296930/nip-vs-qeeyou-eswc-2015
8/22/14,Inferno,5752,T,16,11,5,0,5554,CT,4,4,0,0,2292421/cloud9-vs-flaming-rainbows-esea-invite-season-17-north-america
4/19/15,Nuke,5284,T,16,8,8,0,5378,CT,11,7,4,0,2295303/titan-vs-virtuspro-esea-invite-season-18-global-finals
4/19/15,Cache,5284,T,13,6,7,0,5378,CT,16,9,7,0,2295303/titan-vs-virtuspro-esea-invite-season-18-global-finals
4/19/15,Inferno,5284,T,4,4,0,0,5378,CT,16,11,5,0,2295303/titan-vs-virtuspro-esea-invite-season-18-global-finals
8/26/14,Cache,5086,CT,16,10,6,0,5554,T,10,5,5,0,2292485/exertus-vs-flaming-rainbows-esea-invite-season-17-north-america
9/21/14,Dust2,5422,CT,14,9,5,0,5569,T,16,6,10,0,2292806/dignitas-vs-london-conspiracy-hitbox-arena-championship-3
9/21/14,Inferno,5422,CT,16,10,6,0,5569,T,13,5,8,0,2292806/dignitas-vs-london-conspiracy-hitbox-arena-championship-3
9/21/14,Cache,5422,CT,16,10,6,0,5569,T,8,5,3,0,2292806/dignitas-vs-london-conspiracy-hitbox-arena-championship-3
7/10/15,Cobblestone,5988,T,16,7,9,0,6033,CT,13,8,5,0,2296929/flipsid3-vs-keyd-stars-eswc-2015
8/26/14,Mirage,5231,T,4,4,0,0,5086,CT,16,11,5,0,2292486/exertus-vs-ibuypower-esea-invite-season-17-north-america
9/21/14,Dust2,4759,T,16,12,4,0,4590,CT,4,3,1,0,2292807/overgaming-vs-epsilon-fe-hitbox-arena-championship-3
9/21/14,Mirage,4759,T,16,5,11,0,4590,CT,13,10,3,0,2292807/overgaming-vs-epsilon-fe-hitbox-arena-championship-3
4/19/15,Mirage,4991,CT,19,11,4,4,4494,T,15,4,11,0,2295322/fnatic-vs-mousesports-esea-invite-season-18-global-finals
4/19/15,Cache,4991,CT,16,7,9,0,4494,T,8,8,0,0,2295322/fnatic-vs-mousesports-esea-invite-season-18-global-finals
7/10/15,Cobblestone,5752,CT,16,14,2,0,5718,T,4,1,3,0,2296928/cloud9-vs-boreal-eswc-2015
8/27/14,Cache,5231,CT,16,11,5,0,5543,T,9,4,5,0,2292503/ibuypower-vs-netcodeguidescom-esea-invite-season-17-north-america
9/22/14,Inferno,4501,CT,16,13,3,0,5770,T,2,2,0,0,2292785/alternate-attax-vs-myxmg-fe-hitbox-arena-championship-3
9/22/14,Mirage,4501,CT,16,11,5,0,5770,T,5,4,1,0,2292785/alternate-attax-vs-myxmg-fe-hitbox-arena-championship-3
4/19/15,Mirage,5284,T,10,8,2,0,4991,CT,16,7,9,0,2295327/titan-vs-fnatic-esea-invite-season-18-global-finals
4/19/15,Cache,5284,T,9,8,1,0,4991,CT,16,7,9,0,2295327/titan-vs-fnatic-esea-invite-season-18-global-finals
7/10/15,Train,5973,T,16,11,5,0,6045,CT,13,4,9,0,2296931/liquid-vs-ldlc-white-eswc-2015
8/27/14,Inferno,5752,T,16,7,9,0,5086,CT,11,8,3,0,2292502/cloud9-vs-exertus-esea-invite-season-17-north-america
7/10/15,Cache,5718,T,4,3,1,0,5988,CT,16,12,4,0,2296933/boreal-vs-flipsid3-eswc-2015
8/29/14,Dust2,5752,T,7,4,3,0,5231,CT,16,11,5,0,2292523/ibuypower-vs-cloud9-esea-invite-season-17-north-america
9/22/14,Dust2,5569,T,8,5,3,0,4759,CT,16,10,6,0,2292820/overgaming-vs-london-conspiracy-hitbox-arena-championship-3
9/22/14,Mirage,5569,T,19,9,6,4,4759,CT,16,6,9,1,2292820/overgaming-vs-london-conspiracy-hitbox-arena-championship-3
9/22/14,Cache,5569,T,13,7,6,0,4759,CT,16,8,8,0,2292820/overgaming-vs-london-conspiracy-hitbox-arena-championship-3
4/19/15,Season,5378,T,16,12,4,0,4991,CT,14,3,11,0,2295328/virtuspro-vs-fnatic-esea-invite-season-18-global-finals
4/19/15,Inferno,5378,T,9,6,3,0,4991,CT,16,9,7,0,2295328/virtuspro-vs-fnatic-esea-invite-season-18-global-finals
4/19/15,Cache,5378,T,16,9,7,0,4991,CT,13,6,7,0,2295328/virtuspro-vs-fnatic-esea-invite-season-18-global-finals
7/10/15,Overpass,5752,T,16,10,6,0,6033,CT,6,5,1,0,2296932/cloud9-vs-keyd-stars-eswc-2015
9/4/14,Cache,5086,T,16,11,5,0,5454,CT,7,4,3,0,2292571/exertus-vs-skdc-esea-invite-season-17-north-america
9/23/14,Mirage,4608,T,16,11,5,0,5653,CT,4,4,0,0,2292852/natus-vincere-vs-mtw-hitbox-arena-championship-3
9/23/14,Dust2,4608,T,16,11,5,0,5653,CT,8,4,4,0,2292852/natus-vincere-vs-mtw-hitbox-arena-championship-3
9/4/14,Season,5752,CT,16,12,4,0,5543,T,3,3,0,0,2292570/cloud9-vs-netcodeguidescom-esea-invite-season-17-north-america
7/10/15,Mirage,4411,CT,16,13,3,0,5973,T,2,2,0,0,2296938/nip-vs-liquid-eswc-2015
10/7/14,Dust2,4456,T,17,5,10,2,4501,CT,19,10,5,4,2293076/epsilon-vs-alternate-attax-hitbox-arena-championship-3
