Name,Country,ID
 cale,United States,2231
 ManGa,Belgium,1785
 OK,Montenegro,3123
 w0rm1,Romania,2677
 puri,Germany,893
 hack,Ukraine,447
 zet,Sweden,1
 dtEc,Netherlands,1339
 tigyr,Bulgaria,1786
 swT,United States,2232
 AiMERz,Romania,2678
 RobbaN,Sweden,2
 cruzN,Germany,894
 Skip,Ukraine,448
 cJ_B,United States,1340
 uNd,Italy,3124
 sunko,Bulgaria,1787
 allen,Sweden,3
 aktIwS4s,Romania,2679
 TRAG,United States,2233
 HABESCHA,Germany,895
 ALEXUNDER,Ukraine,449
 jstone,United States,1341
 kere,Georgia,3125
 jett,United States,2234
 Lim,United States,1342
 walle,Sweden,4
 chi,Norway,1788
 dommy,Germany,896
 zet61,Turkey,2680
 fiu,Ukraine,450
 welly,Georgia,3126
 jotoole,Ukraine,451
 Tentpole,Sweden,5
 Batistuta,Brazil,2235
 spyro,United States,897
 unki,Austria,2681
 Trasgress,Iceland,3127
 pauLy,United States,1343
 bobathy,United Kingdom,1789
 romek,Ukraine,452
 mkr,Brazil,2236
 wazorN,Denmark,6
 chmztry,Iceland,3128
 derleo,Germany,898
 cRs,Austria,2682
 psita,Poland,1790
 arch,Norway,1344
 AIm,Portugal,2237
 whataburgerr,Ukraine,453
 gimp,Germany,899
 HadeN,Austria,2683
 Konstanta*,Moldova,3129
 nosiii,France,1345
 Friis,Denmark,7
 swone,Poland,1791
 Yunky,Germany,900
 isNa,Ukraine,454
 anizz,Denmark,8
 corvinus,Turkey,3130
 mientus,Poland,1792
 n0rx,Portugal,2238
 marcoligNo,France,1346
 reaLy,Austria,2684
 Jungle,China,901
 NKI,Belgium,2685
 iTo,Croatia,3131
 spekz,Portugal,2239
 andreq,Ukraine,455
 MickenseN,France,1347
 FaagaN,Denmark,9
 amateur,Poland,1793
 CKX,China,902
 vsk,Portugal,2240
 hoo1ya,Ukraine,456
 dk,Belgium,2686
 ArcadioN,Denmark,10
 habibi,France,1348
 igou,Greece,3132
 syrius,Poland,1794
 BaNz,Belgium,2687
 romch1k,Ukraine,457
 K1ngZ,China,903
 Vertigo,Norway,11
 MALOR,France,1349
 MysT,Greece,3133
 rmn,Portugal,2241
 kIRIL,Macedonia,1795
 numb,Belgium,2688
 P1rate,China,904
 LOBO,Portugal,2242
 daffy,Macedonia,1796
 yxo,Ukraine,458
 NeverLast,Norway,12
 cArsky,Ukraine,1350
 Insane,Greece,3134
 Kuber,China,905
 WaZ,Belgium,2689
 ALi,Ukraine,459
 DOP[A],Greece,3135
 RashiE,Norway,13
 KenaN,Turkey,1797
 kronos,Italy,1351
 oDEith,Portugal,2243
 jokki,Norway,14
 gogo,China,906
 Alesinho,Ukraine,460
 bomez,Slovenia,3136
 hankey,Spain,2690
 elemeNt,Austria,1798
 Ririo,Portugal,2244
 preks,Croatia,1352
 YZ,China,907
 Alkapone,Ukraine,461
 ruy,Bulgaria,1799
 NeiL_M,Ireland,3137
 m1kkis,Norway,15
 dn,Spain,2691
 vity,Spain,2245
 Jun,China,908
 gcko,Czech Republic,1800
 SkidZ,Ireland,3138
 pay,Croatia,1353
 raxxe,Sweden,16
 v1Tu,Spain,2246
 dozeR,France,2692
 Fantomas,Czech Republic,1801
 3#,China,909
 numb,Ukraine,463
 TH,China,910
 Zyppe,Sweden,17
 Saty,France,2693
 D^emo,Czech Republic,1802
 Daddy,Ukraine,464
 Westy,United Kingdom,1354
 ask1ng,Israel,3139
 xeron,Sweden,18
 fumAx,Spain,2247
 sir0ce,Serbia,1803
 Overlord,France,2694
 smallboy,China,911
 Cham,Ukraine,465
 wuabbs,Denmark,1355
 Dolev,Israel,3140
 shk,Spain,2248
 CHEDEL,Switzerland,2695
 MannR,Sweden,19
 GIGN,Ukraine,466
 Rita,China,912
 LINDESS,Bulgaria,1804
 sLy,United Kingdom,1356
 giotive,Slovakia,3141
 hector,Spain,2249
 GaRa ,France,2696
 Maloy,Ukraine,467
 Talin,Norway,1805
 jaenson,Germany,913
 Rogga,Sweden,20
 speqt,Greece,1357
 kap1,Slovakia,3142
 weyS,Spain,2250
 sc0rp,Ukraine,468
 zonic,Denmark,21
 jimman,Finland,2697
 deVS,Greece,1806
 peLusA,Spain,2251
 ouchjqq,Ukraine,469
 uNL,Germany,915
 MJE,Denmark,22
 depran,Sweden,2698
 evRiL,Greece,1807
 discoRd,Greece,1358
 benq1,Slovakia,3143
 Cowboy,Spain,2252
 Sunde,Denmark,23
 Turbo,Kazakhstan,916
 itzo,Ukraine,470
 zoddi,Sweden,2699
 nirvana,Greece,1808
 pallib0ndi,Iceland,3144
 SnOOpS,France,2253
 YiiKoN,France,1359
 ave,Denmark,24
 sniggy,Malaysia,917
 max,Germany,471
 sexperience,Greece,1809
 KbH,Sweden,2700
 ZaN,France,2254
 Casey,France,1360
 chiquita,United Kingdom,3145
 whimp,Denmark,25
 B1ad3,Ukraine,472
 violenCe,Greece,1810
 depth,Sweden,2701
 zeM,France,2255
 JohN,France,1361
 guccie,United Kingdom,3146
 ins,Sweden,26
 funatic,Denmark,919
 xaoc,Ukraine,473
 badjoke,Romania,2702
 Dee,Netherlands,1811
 JaMYrs,France,2256
 Predator,Switzerland,3147
 LaPn-,France,1362
 dalle,Denmark,920
 Archi,Sweden,27
 jAZZy,Romania,2703
 Keisha,Netherlands,1812
 SnK,France,2257
 weiss,Ukraine,474
 SENS,Switzerland,3148
 Shady,France,1363
 cArn,Sweden,28
 BERRY,Denmark,921
 r0nyy,Romania,2704
 Tinkerbell,Netherlands,1813
 pEp,Portugal,2258
 vad1k,Ukraine,475
 dolar,France,1364
 dfs,Switzerland,3149
 blacknight,Romania,2705
 MedeEa,Romania,1814
 f0rest,Sweden,29
 Maj,France,1365
 HUMANS,Portugal,2259
 Kouru,Switzerland,3150
 jnenxen,Romania,2706
 anN,Germany,1815
 Snappi,Denmark,922
 dsn,Sweden,30
 RIZZZ,Portugal,2260
 flasp,Sweden,1366
 Spew,Switzerland,3151
 strike,Ukraine,476
 headc,Netherlands,2707
 KittyCat,Germany,1816
 Ktulu,Denmark,923
 enemy,Korea,3152
 EmmEm,Sweden,1367
 SMAKER,Portugal,2261
 artist,Netherlands,2708
 vatras,Switzerland,1817
 redman,Russia,477
 Scottbull,Germany,924
 kHRIS,Hungary,3153
 lurppis,Finland,31
 hldr,Portugal,2262
 zn4P,Sweden,1368
 primortjE,Netherlands,2709
 Nikooolkka_,Czech Republic,1818
 ed1k,Russia,478
 Xoma,Russia,925
 NEY,Hungary,3154
 contE,Finland,32
 GiANLUCA,Netherlands,2710
 bife,Portugal,2263
 NPR,Sweden,1369
 Seriuska,Czech Republic,1819
 ex,Russia,479
 jckl,Czech Republic,926
 k0RsAr,Bulgaria,3155
 plastE,Finland,33
 eLECTRO,Sweden,1370
 xAims,Portugal,2264
 jance.,Czech Republic,1820
 Flatra,Russia,480
 uN,Lithuania,3156
 ruuit,Finland,34
 NIOU,Portugal,2265
 aiR,Iceland,1371
 KiTTy-KaT,United Kingdom,1821
 kiokeN,Russia,481
 gns,Czech Republic,927
 eviden,Spain,3157
 naSu,Finland,35
 visine,Norway,1372
 CourR,Portugal,2266
 ufear,Netherlands,2712
 Natal1e,United Kingdom,1822
 Kane,Ukraine,482
 jRi,Czech Republic,928
 dav,Spain,3158
 FYRR73,Sweden,36
 lasse,Norway,1373
 GRABTHIS,Netherlands,2713
 ryad,France,2267
 Sophiaaa,United Kingdom,1823
 Edward,Ukraine,483
 StaN,Slovakia,929
 delm1k,Russia,3159
 THREAT,Sweden,37
 NoxeL,Norway,1374
 snktmc,Portugal,2268
 scandalous,Netherlands,2714
 dreaM,United Kingdom,1824
 Zeus,Ukraine,484
 DecE,Romania,930
 eXcellenT,Russia,3160
 kHRYSTAL,Sweden,38
 PAH,Norway,1375
 akid,Netherlands,2715
 FuNNy,Spain,2269
 princess,United Kingdom,1825
 trek,Russia,3161
 SeDaN,Romania,931
 GeT_RiGhT,Sweden,39
 serpen,Norway,1376
 green,Spain,2270
 Emelik,Ukraine,485
 hich,Netherlands,2716
 Kondor,Moldova,1826
 amigos,Russia,3162
 SZR,Romania,932
 qp,Sweden,40
 CLd,Norway,1377
 rmL,Hungary,2717
 pEsHkyY,Bulgaria,2271
 Fr0sT,Ukraine,486
 Quasar,Moldova,1827
 Gestap0,Russia,3163
 reN,Romania,933
 zehN,Finland,1378
 pronax,Sweden,41
 DEv,Hungary,2718
 Toxic,Moldova,1828
 pulgaR,Spain,2272
 Dec1,Russia,487
 noone,Russia,3164
 crow,Romania,934
 Gregz,Finland,1379
 danne,Sweden,42
 Friza,United Kingdom,1829
 miniB,Hungary,2719
 SiTy,Spain,2273
 juvenilE,Russia,488
 ARMS,Russia,3165
 sKUIJKE,Finland,1380
 DELETEME,Sweden,43
 enox,Norway,935
 Shaft,France,1830
 kileruu$,Spain,2274
 Seiiken,France,2720
 sasuke,Russia,489
 sILENT,Russia,3166
 AINAA,Sweden,1381
 hellzERk,Norway,936
 BARBARR,Sweden,44
 TAY,Denmark,1831
 slacheur,France,2721
 d1sturb,Russia,490
 flow,Spain,2275
 senze,Russia,3167
 PannY,Norway,937
 kayzy,Sweden,1382
 tihOp,Finland,45
 krischjo,Denmark,1832
 damaGE,Russia,491
 sclor,France,2722
 iio,Spain,2276
 qalle,Sweden,1383
 playert48,Russia,3168
 mewiE,Norway,938
 toNppa,Finland,46
 hogqN,France,2723
 sHAROMAN,Ukraine,492
 SquaLL,France,2277
 olexz,Sweden,1833
 thundR,Norway,939
 selik,Russia,3169
 suspect,Sweden,1384
 Shiri,Finland,47
 bartolomeo,Ukraine,493
 boxioMs,France,2724
 evily,Sweden,1834
 Acrow,France,2278
 garrzki,Sweden,1385
 asharon,Switzerland,940
 ks1ron,Russia,3170
 Kuppi,Finland,48
 rodik,Ukraine,494
 HaWk,Greece,2725
 monolito,Sweden,1835
