Name,Country,ID
rhus.eSport,Denmark,1495
The Titans,Denmark,1
CNO,Netherlands,997
aLteC-Gaming,Belgium,1246
Uzbekistan,Other,499
zapteam,Lithuania,748
direction gaming ,Norway,1744
NetFragz,United States,250
oBedieNt,Norway,1745
NoumenA,United States,251
Temporary.dz,Algeria,2
DarkPassage,Turkey,500
mix.nfa,Denmark,1496
Not Available,Denmark,998
psycho,Lithuania,749
4DFX,Belgium,1247
Pentakilo,Denmark,1497
yourdeathwish,Norway,1746
offline,United States,252
Over,Belgium,1248
DETOX,Lithuania,750
ex-oXmoze,France,501
PhrenetiK,United States,253
Killswitch,Norway,1747
GoA v2,Denmark,1498
frown,Lithuania,751
DCC,Netherlands,1249
MoD eSports,Denmark,1000
XCN Gaming,Singapore,502
ProGamer,United States,254
Logic,Netherlands,1250
HeADdE,Denmark,1001
Elipse,Denmark,1499
konkurentai,Lithuania,752
r4v,Norway,1748
IRONMEN,Mexico,503
Pure,United States,255
Kinesis gaming,Netherlands,1251
lojloj,Denmark,1500
McEiF,Denmark,1002
Vanity,Norway,1749
zvgz,Lithuania,753
HoA,Philippines,504
REVOLTZ,Brazil,256
AYN-TUFAAN,Belgium,1252
Genesis,Denmark,1501
Righteous,Denmark,1003
experiment,Lithuania,754
Sacralis,Norway,1750
eXtreme Gamers,Taiwan,505
Rival,United States,257
masterpiece,Denmark,1004
Friends,Netherlands,1253
youSee,Denmark,1502
ultra.h,Lithuania,755
Made in Brazil,Brazil,506
demise,Norway,1751
Playtown,Denmark,9
69N-28E,Finland,258
myLegend,Sweden,1254
ultra.h,Lithuania,756
aMiKo,Denmark,1503
newstyle,Denmark,1005
HellGaming,Romania,1752
Frag eXecutors,Poland,507
Gamelauch,Denmark,10
ffw,Lithuania,757
Geek-Gaming,Denmark,1255
Liechtenstein,Other,1504
slakkt,Norway,259
GIAL,Denmark,1006
UNIR,Spain,1753
4glory,Serbia,508
mz,Lithuania,758
mirror,Denmark,1256
Tabris,United States,260
hastalavista,Denmark,1007
Cold Nation,Sweden,1505
Never.Die,Spain,1754
New Style,Denmark,12
ate.in,Other,509
Gamecastle,Sweden,1506
Skilledamn!,Portugal,1755
shpongle,Lithuania,759
Anxiety,Denmark,1008
redWhite,Finland,1257
EG,Canada,261
Sky_CS,Other,510
erogenic,Denmark,13
Lassur,Denmark,1009
Whatever,Denmark,14
uX,Spain,1756
TAP,United States,262
disport,Russia,1258
Cubesports,Italy,511
CR,Lithuania,760
glorious,Sweden,1507
Defacers,Spain,1757
TEC,United States,263
excello-old,Denmark,1010
p3w,Lithuania,761
amuse,Sweden,1508
eoLithic,Norway,512
aimpad,Russia,1259
sym,Spain,1758
TGS,United States,264
Elite Quality,Russia,1260
chiLi,Sweden,1509
Slapukai,Lithuania,762
Paranoid,Japan,513
zypr@1337z,Denmark,1011
Gamers.nu,Sweden,17
REDStyle,Spain,1759
uNiteduNdergroud,United States,265
Trustcompany,Sweden,1510
sYnck,Estonia,514
alex,Norway,763
Majestics,Denmark,1012
Never Ending Pain,United Kingdom,1261
GAMEMADNESS,Denmark,1760
spiXel,Sweden,18
womaNation,United States,266
Forbannat,Sweden,1511
richmond,Denmark,1013
Incredibles,Pakistan,515
catche,Norway,764
unsterblich,Norway,1262
4BGT,United States,267
Nacho,Denmark,1014
Madworld,Sweden,1512
